id,uid,source_dataset,source_url,caption,row_idx,local_relpath
0,000000391895,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000391895.jpg,A man with a red helmet on a small moped on a dirt road. ,0,raw/coco/000000391895.jpg
1,000000522418,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000522418.jpg,A woman wearing a net on her head cutting a cake. ,1,raw/coco/000000522418.jpg
2,000000184613,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000184613.jpg,A child holding a flowered umbrella and petting a yak.,2,raw/coco/000000184613.jpg
3,000000318219,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000318219.jpg,A young boy standing in front of a computer keyboard.,3,raw/coco/000000318219.jpg
4,000000554625,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000554625.jpg,a boy wearing headphones using one computer in a long row of computers,4,raw/coco/000000554625.jpg
5,000000574769,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000574769.jpg,A woman in a room with a cat.,5,raw/coco/000000574769.jpg
6,000000060623,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000060623.jpg,A young girl inhales with the intent of blowing out a candle. ,6,raw/coco/000000060623.jpg
7,000000309022,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000309022.jpg,A commercial stainless kitchen with a pot of food cooking. ,7,raw/coco/000000309022.jpg
8,000000005802,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000005802.jpg,Two men wearing aprons working in a commercial-style kitchen.,8,raw/coco/000000005802.jpg
9,000000222564,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000222564.jpg,Two chefs in a restaurant kitchen preparing food. ,9,raw/coco/000000222564.jpg
10,000000118113,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000118113.jpg,this is a very dark picture of a room with a shelf,10,raw/coco/000000118113.jpg
11,000000193271,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000193271.jpg,A kitchen filled with black appliances and lots of counter top space.,11,raw/coco/000000193271.jpg
12,000000224736,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000224736.jpg,A professional kitchen filled with sinks and appliances.,12,raw/coco/000000224736.jpg
13,000000483108,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000483108.jpg,A man on a bicycle riding next to a train,13,raw/coco/000000483108.jpg
14,000000403013,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000403013.jpg,A narrow kitchen filled with appliances and cooking utensils.,14,raw/coco/000000403013.jpg
15,000000374628,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000374628.jpg,A kitchen with wood floors and lots of furniture.,15,raw/coco/000000374628.jpg
16,000000328757,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000328757.jpg,A woman eating vegetables in front of a stove.,16,raw/coco/000000328757.jpg
17,000000384213,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000384213.jpg,A kitchen is shown with a variety of items on the counters.,17,raw/coco/000000384213.jpg
18,000000293802,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000293802.jpg,A boy performing a kickflip on his skateboard on a city street.,18,raw/coco/000000293802.jpg
19,000000086408,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000086408.jpg,"A kitchen with a stove, microwave and refrigerator.",19,raw/coco/000000086408.jpg
20,000000372938,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000372938.jpg,A group of people riding on the back of a loaded red pickup truck.,20,raw/coco/000000372938.jpg
21,000000386164,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000386164.jpg,A wooden ball on top of a wooden stick.,21,raw/coco/000000386164.jpg
22,000000223648,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000223648.jpg,Multiple wooden spoons are shown on a table top.,22,raw/coco/000000223648.jpg
23,000000204805,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000204805.jpg,A large boat filled with mean on wheels.,23,raw/coco/000000204805.jpg
24,000000113588,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000113588.jpg,several young students working at a desk with multiple computers,24,raw/coco/000000113588.jpg
25,000000384553,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000384553.jpg,A man riding an elephant into some water of a creek.,25,raw/coco/000000384553.jpg
26,000000337264,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000337264.jpg,a couple of women  are in a kitchen,26,raw/coco/000000337264.jpg
27,000000368402,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000368402.jpg,The woman in the kitchen is holding a huge pan.,27,raw/coco/000000368402.jpg
28,000000012448,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000012448.jpg,A baby is laying down with a teddy bear.,28,raw/coco/000000012448.jpg
29,000000079841,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000079841.jpg,"Two bikers, one in front of a building, the other in the city.",29,raw/coco/000000079841.jpg
30,000000515289,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000515289.jpg,People riding bicycles down the road approaching a bird.,30,raw/coco/000000515289.jpg
